   text	   data	    bss	    dec	    hex	filename
    384	      0	      0	    384	    180	out/addr_trans.o
   1452	      0	      4	   1456	    5b0	out/blkdev.o
   6883	      8	    541	   7432	   1d08	out/bmt.o
    450	      0	   2048	   2498	    9c2	out/circbuf.o
      0	     16	      0	     16	     10	out/cust_msdc.o
      0	    140	      0	    140	     8c	out/custom_emi.o
    137	    960	      0	   1097	    449	out/cust_part.o
    257	      0	      0	    257	    101	out/device_apc.o
      4	      0	      0	      4	      4	out/div0.o
      0	      0	      0	      0	      0	out/download_legacy.o
      0	      0	      0	      0	      0	out/download_legacy_utils.o
   2878	      0	     68	   2946	    b82	out/download.o
   2381	      0	      4	   2385	    951	out/dramc_calib.o
   3481	    280	     88	   3849	    f09	out/dramc_dqs_gw.o
    320	      0	      0	    320	    140	out/eabi_idiv.o
    200	      0	      0	    200	     c8	out/eabi.o
    332	      0	      0	    332	    14c	out/eabi_uldivmod.o
   1426	      4	      0	   1430	    596	out/gpio.o
    810	      8	      4	    822	    336	out/handshake_uart.o
   1369	      8	      0	   1377	    561	out/handshake_usb.o
    444	      0	      0	    444	    1bc	out/init.o
   2094	      0	      0	   2094	    82e	out/main.o
    188	      0	      0	    188	     bc	out/memory_test.o
   1328	      0	    200	   1528	    5f8	out/mmc_common_inter.o
  10074	      0	   1648	  11722	   2dca	out/mmc_core.o
      0	      0	      0	      0	      0	out/mmc_test.o
   7885	      0	    224	   8109	   1fad	out/msdc.o
    212	      0	      0	    212	     d4	out/msdc_utils.o
   1814	      0	      0	   1814	    716	out/mt6577_memory.o
    180	      0	      0	    180	     b4	out/mt_cpu_power.o
   4132	      4	     24	   4160	   1040	out/mt_emi.o
   1792	      0	      0	   1792	    700	out/mt_i2c.o
    676	      0	      0	    676	    2a4	out/mtk_key.o
    688	      0	      8	    696	    2b8	out/mtk_timer.o
   1536	      0	     14	   1550	    60e	out/mtk_wdt.o
   8581	     16	     20	   8617	   21a9	out/mt_pmic6329.o
   1994	      0	      0	   1994	    7ca	out/mt_rtc.o
   4209	     11	     16	   4236	   108c	out/mt_usbd.o
    496	      0	      0	    496	    1f0	out/mt_usbphy.o
   2989	    167	   3676	   6832	   1ab0	out/mt_usbtty.o
   3049	      0	   8241	  11290	   2c1a	out/nand_common_inter.o
   7849	   1593	    376	   9818	   265a	out/nand.o
   7242	      0	  18432	  25674	   644a	out/partition_mt.o
   1373	      0	      0	   1373	    55d	out/part.o
   3286	      0	   3124	   6410	   190a	out/platform.o
   1124	      0	      0	   1124	    464	out/pll.o
    892	      4	      4	    900	    384	out/print.o
    475	      0	      0	    475	    1db	out/sec_auth.o
    762	      0	      0	    762	    2fa	out/sec_boot.o
      4	      0	      0	      4	      4	out/sec_ctrl.o
      4	      0	      0	      4	      4	out/sec_flashtool_cfg.o
    245	      0	    512	    757	    2f5	out/sec_key.o
   1495	      0	      8	   1503	    5df	out/sec.o
    417	      0	      0	    417	    1a1	out/sec_region.o
    133	    960	      0	   1093	    445	out/sec_rom_info.o
    588	      0	      4	    592	    250	out/sec_secroimg.o
   1996	      0	      2	   1998	    7ce	out/sec_util.o
    230	      0	      0	    230	     e6	out/stdlib.o
    240	      0	      0	    240	     f0	out/string.o
    697	      4	      0	    701	    2bd	out/uart.o
